beak_depth,year,beak_length
8.4,1975,13.9
8.8,1975,14.0
8.4,1975,12.9
8.0,1975,13.5
7.9,1975,12.9
8.9,1975,14.6
8.6,1975,13.0
8.5,1975,14.2
8.9,1975,14.0
9.1,1975,14.2
8.6,1975,13.1
9.8,1975,15.1
8.2,1975,13.5
9.0,1975,14.4
9.7,1975,14.9
8.6,1975,12.9
8.2,1975,13.0
9.0,1975,14.9
8.4,1975,14.0
8.6,1975,13.8
8.9,1975,13.0
9.1,1975,14.75
8.3,1975,13.7
8.7,1975,13.8
9.6,1975,14.0
8.5,1975,14.6
9.1,1975,15.2
9.0,1975,13.5
9.2,1975,15.1
9.9,1975,15.0
8.6,1975,12.8
9.2,1975,14.9
8.4,1975,15.3
8.9,1975,13.4
8.5,1975,14.2
10.4,1975,15.1
9.6,1975,15.1
9.1,1975,14.0
9.3,1975,13.6
9.3,1975,14.0
8.8,1975,14.0
8.3,1975,13.9
8.8,1975,14.0
9.1,1975,14.9
10.1,1975,15.6
8.9,1975,13.8
9.2,1975,14.4
8.5,1975,12.8
10.2,1975,14.2
10.1,1975,13.4
9.2,1975,14.0
9.7,1975,14.8
9.1,1975,14.2
8.5,1975,13.5
8.2,1975,13.4
9.0,1975,14.6
9.3,1975,13.5
8.0,1975,13.7
9.1,1975,13.9
8.1,1975,13.1
8.3,1975,13.4
8.7,1975,13.8
8.8,1975,13.6
8.6,1975,14.0
8.7,1975,13.5
8.0,1975,12.8
8.8,1975,14.0
9.0,1975,13.4
9.1,1975,14.9
9.74,1975,15.54
9.1,1975,14.63
9.8,1975,14.73
10.4,1975,15.73
8.3,1975,14.83
9.44,1975,15.94
9.04,1975,15.14
9.0,1975,14.23
9.05,1975,14.15
9.65,1975,14.35
9.45,1975,14.95
8.65,1975,13.95
9.45,1975,14.05
9.45,1975,14.55
9.05,1975,14.05
8.75,1975,14.45
9.45,1975,15.05
8.35,1975,13.25
9.4,2012,14.3
8.9,2012,12.5
9.5,2012,13.7
11.0,2012,13.8
8.7,2012,12.0
8.4,2012,13.0
9.1,2012,13.0
8.7,2012,13.6
10.2,2012,12.8
9.6,2012,13.6
8.85,2012,12.95
8.8,2012,13.1
9.5,2012,13.4
9.2,2012,13.9
9.0,2012,12.3
9.8,2012,14.0
9.3,2012,12.5
9.0,2012,12.3
10.2,2012,13.9
7.7,2012,13.1
9.0,2012,12.5
9.5,2012,13.9
9.4,2012,13.7
8.0,2012,12.0
8.9,2012,14.4
9.4,2012,13.5
9.5,2012,13.8
8.0,2012,13.0
10.0,2012,14.9
8.95,2012,12.5
8.2,2012,12.3
8.8,2012,12.8
9.2,2012,13.4
9.4,2012,13.8
9.5,2012,13.5
8.1,2012,13.5
9.5,2012,13.4
8.4,2012,12.3
9.3,2012,14.35
9.3,2012,13.2
9.6,2012,13.8
9.2,2012,14.6
10.0,2012,14.3
8.9,2012,13.8
10.5,2012,13.6
8.9,2012,12.9
8.6,2012,13.0
8.8,2012,13.5
9.15,2012,13.2
9.5,2012,13.7
9.1,2012,13.1
10.2,2012,13.2
8.4,2012,12.6
10.0,2012,13.0
10.2,2012,13.9
9.3,2012,13.2
10.8,2012,15.0
8.3,2012,13.37
7.8,2012,11.4
9.8,2012,13.8
7.9,2012,13.0
8.9,2012,13.0
7.7,2012,13.1
8.9,2012,12.8
9.4,2012,13.3
9.4,2012,13.5
8.5,2012,12.4
8.5,2012,13.1
9.6,2012,14.0
10.2,2012,13.5
8.8,2012,11.8
9.5,2012,13.7
9.3,2012,13.2
9.0,2012,12.2
9.2,2012,13.0
8.7,2012,13.1
9.0,2012,14.7
9.1,2012,13.7
8.7,2012,13.5
9.4,2012,13.3
9.8,2012,14.1
8.6,2012,12.5
10.6,2012,13.7
9.0,2012,14.6
9.5,2012,14.1
8.1,2012,12.9
9.3,2012,13.9
9.6,2012,13.4
8.5,2012,13.0
8.2,2012,12.7
8.0,2012,12.1
9.5,2012,14.0
9.7,2012,14.9
9.9,2012,13.9
9.1,2012,12.9
9.5,2012,14.6
9.8,2012,14.0
8.4,2012,13.0
8.3,2012,12.7
9.6,2012,14.0
9.4,2012,14.1
10.0,2012,14.1
8.9,2012,13.0
9.1,2012,13.5
9.8,2012,13.4
9.3,2012,13.9
9.9,2012,13.1
8.9,2012,12.9
8.5,2012,14.0
10.6,2012,14.0
9.3,2012,14.1
8.9,2012,14.7
8.9,2012,13.4
9.7,2012,13.8
9.8,2012,13.4
10.5,2012,13.8
8.4,2012,12.4
10.0,2012,14.1
9.0,2012,12.9
8.7,2012,13.9
8.8,2012,14.3
8.4,2012,13.2
9.3,2012,14.2
9.8,2012,13.0
8.9,2012,14.6
9.8,2012,13.1
9.1,2012,15.2
